Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Yohel Pozo","STL",43,178,169,45,30,9,0,5,19,22,6,0,23,1,1,1,,1,0,0.265541,0.0346,0.129353,0.267485,0.293493,0.420215,0.307107,0.713709,0.154675,3.27114,0.278597,-0.19352,-0.167063,20.2057,-0.860987,98.1115,-0.360583,-0.549947,-0.7596516013145447,-0.028187453746795654,0.550259,999,,,,,,,179,4.162790697,179,4.162790697,,,,,,,,,,,,,,,,,,,"Yohel Pozo","18848",650968
"Matt Vierling","DET",82,353,318,78,53,15,2,8,40,37,28,1,81,3,2,1,,4,1,0.245024,0.0796136,0.229023,0.347623,0.310845,0.383986,0.304176,0.694832,0.138962,4.62031,0.301035,0.235273,-0.345248,39.1197,-2.5418,93.8286,-0.109975,-2.41388,-2.674644634127617,-4.117583274841309,0.54709,999,,,,,,,346.7,4.22804878,346.7,4.22804878,,,,,,,,,,,,,,,,,,,"Matt Vierling","21558",663837
"Christian Vázquez","HOU",43,171,157,35,25,6,0,4,17,16,11,0,35,2,1,1,,2,1,0.225231,0.0620999,0.207633,0.299085,0.27886,0.337812,0.271949,0.616673,0.112582,3.75053,0.26653,-0.415335,-0.123656,14.4697,-5.69585,72.4547,-0.53899,-0.0234358,-6.079740345478058,3.3098974507302046,0.538479,999,,,,,,,134,3.116279069,134,3.116279069,,,,,,,,,,,,,,,,,,,"Christian Vazquez","9774",543877
"Darell Hernaiz","ATH",37,160,144,38,28,8,1,2,17,15,13,0,23,1,1,1,,3,1,0.263031,0.0793,0.143756,0.55163,0.324919,0.371386,0.307196,0.696305,0.108355,4.31994,0.296747,-0.0602695,-0.0773564,18.1448,-0.761151,93.3402,-0.137626,0.274788,-1.3935678750276566,1.144386887550354,0.538133,999,,,,,,,161.4,4.362162162,161.4,4.362162162,,,,,,,,,,,,,,,,,,,"Darell Hernaiz","26224",687231
"James Outman","MIN",48,209,182,39,23,8,1,7,26,23,21,1,71,3,1,0,,5,1,0.216661,0.102622,0.341612,0.300406,0.30808,0.39732,0.30861,0.705401,0.180659,5.99866,0.305371,0.0225962,0.267479,23.9067,-0.753284,96.3754,0.290075,-0.127918,-0.6014992892742157,-1.370201826095581,0.533437,999,,,,,,,209.8,4.370833333,209.8,4.370833333,,,,,,,,,,,,,,,,,,,"James Outman","24770",681546
"Gavin Sheets","SDP",112,484,437,105,66,22,1,16,48,59,39,1,99,4,3,0,,2,1,0.241259,0.0809392,0.203917,0.396923,0.307369,0.40815,0.310933,0.715519,0.166891,2.50217,0.274335,-0.48766,-0.742641,56.3489,-0.833635,102.323,-1.2303,-1.72845,0.10225391387939453,-11.012401938438416,0.530609,684.8099975585938,,,,,,,500.9,4.472321428,500.9,4.472321428,,,,,,,,,,,,,,,,,,,"Gavin Sheets","19901",657757
"Miguel Rojas","LAD",37,159,146,37,26,7,0,3,17,16,10,0,22,1,1,1,,3,1,0.252157,0.0635778,0.137346,0.462903,0.305042,0.364189,0.293663,0.66923,0.112032,3.77302,0.276805,-0.0408604,0.0385253,16.2849,-2.5036,87.2628,-0.0023351,1.72777,-2.402820615330711,2.295670747756958,0.530146,999,,,,,,,145.6,3.935135135,145.6,3.935135135,,,,,,,,,,,,,,,,,,,"Miguel Rojas","7802",500743
"Travis Bazzana","CLE",58,249,216,47,31,9,1,5,26,23,27,0,70,3,2,1,,4,1,0.215189,0.1098,0.280937,0.390836,0.308763,0.338427,0.290078,0.64719,0.123239,4.77084,0.290668,0,-0.0944783,24.7651,-4.643,85.5525,-0.0944783,0,-4.3325788751244545,0.8888888955116272,0.524388,999,,,,,,,220.8,3.806896551,220.8,3.806896551,,,,,,,,,,,,,,,,,,,"Travis Bazzana","sa3025129",683953
"Michael Massey","KCR",56,243,227,58,38,12,1,7,26,28,12,0,43,2,2,1,,2,1,0.253638,0.0492002,0.178043,0.276338,0.29534,0.403319,0.302229,0.698659,0.149681,3.71324,0.283914,0.0255797,-0.212308,26.6298,-2.14016,89.7215,-0.186728,-0.607762,-3.1364435851573944,-0.13569414615631104,0.522914,999,,,,,,,247.1,4.4125,247.1,4.4125,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Oswald Peraza","LAA",70,304,275,60,42,10,0,8,33,30,22,0,80,4,2,1,,11,3,0.219126,0.0730327,0.262795,0.277908,0.286035,0.348739,0.280539,0.634775,0.129613,5.00102,0.27504,0.0383709,0.688447,27.9126,-8.0307,76.6188,0.726817,1.62805,-7.656107604503632,2.2700289487838745,0.520484,999,,,,,,,255.7,3.652857142,255.7,3.652857142,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Alex Freeland","LAD",37,159,138,31,19,7,0,4,20,17,18,0,42,2,1,0,,4,1,0.223811,0.111905,0.264691,0.422775,0.318573,0.373065,0.30645,0.691638,0.149254,4.71765,0.286199,-0.003104,0.0842138,17.9358,-0.852778,96.0222,0.0811098,-0.158281,-0.6685573309659958,0.45900289714336395,0.519669,999,,,,,,,158.3,4.278378378,158.3,4.278378378,,,,,,,,,,,,,,,,,,,"Alex Freeland","31665",690976
"JJ Bleday","CIN",40,174,152,35,20,8,0,7,21,21,20,1,39,1,1,0,,1,1,0.231726,0.114,0.224362,0.508108,0.3217,0.428091,0.325316,0.749791,0.196365,3.4445,0.26332,-0.136347,-0.181048,22.2812,1.73127,103.557,-0.317396,0.478397,0.4157538414001465,-1.1862632632255554,0.513005,748.5800170898438,,,,,,,195.1,4.8775,195.1,4.8775,,,,,,,,,,,,,,,,,,,"JJ Bleday","26368",668709
"Thomas Saggese","STL",48,209,192,48,33,10,0,5,21,21,13,0,51,2,1,1,,2,1,0.248503,0.0611998,0.245072,0.249722,0.301156,0.376493,0.296733,0.67765,0.12799,3.72602,0.313403,0.0332738,-0.145076,21.8942,-2.76574,91.0048,-0.111803,0.407604,-2.3368341997265816,0.3579131215810776,0.507737,999,,,,,,,198.8,4.141666666,198.8,4.141666666,,,,,,,,,,,,,,,,,,,"Thomas Saggese","27883",695336
"Alan Roden","MIN",45,195,171,44,30,9,1,4,22,20,18,0,37,4,1,1,,3,1,0.254048,0.0899002,0.188289,0.47746,0.333728,0.389403,0.318853,0.72313,0.135355,4.5554,0.298198,-0.0140749,-0.0880716,23.9329,0.916988,103.432,-0.102146,-0.174572,0.685770645737648,-2.4603748619556427,0.504591,999,,,,,,,213.7,4.748888888,213.7,4.748888888,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Amed Rosario","NYY",51,221,209,55,40,10,1,4,24,25,9,0,39,2,1,0,,4,1,0.262211,0.0406901,0.178034,0.228552,0.296626,0.379416,0.294164,0.676042,0.117205,4.98492,0.303927,0.400526,0.0702855,22.7474,-3.39319,88.3108,0.470812,-0.362775,-2.57715567946434,-0.11586117744445801,0.503778,999,,,,,,,209.1,4.1,209.1,4.1,,,,,,,,,,,,,,,,,,,"Amed Rosario","15518",642708
"Tyler Freeman","COL",58,250,222,61,44,12,1,4,31,23,20,0,33,7,2,1,,10,3,0.276059,0.0783999,0.13163,0.595607,0.35011,0.394416,0.328809,0.744527,0.118358,5.68431,0.306693,0.0854597,0.287602,32.7954,3.20342,97.1772,0.373062,-0.152098,-0.4648246169090271,-2.9845054149627686,0.499337,745.8599853515625,,,,,,,289.3,4.987931034,289.3,4.987931034,,,,,,,,,,,,,,,,,,,"Tyler Freeman","22532",671289
"Austin Wynns","ATH",42,165,151,35,23,7,0,4,17,17,11,0,46,2,1,1,,1,0,0.229407,0.0683004,0.280678,0.243341,0.288289,0.367483,0.287527,0.655771,0.138076,3.52734,0.297957,-0.134127,-0.132748,16.1125,-3.42759,79.7909,-0.266875,0.849989,-4.205851674079895,4.079927086830139,0.49797,999,,,,,,,143.8,3.423809523,143.8,3.423809523,,,,,,,,,,,,,,,,,,,"Austin Wynns","15271",642851
"Edmundo Sosa","PHI",56,243,227,56,37,11,1,7,26,28,10,0,55,4,2,1,,3,1,0.248446,0.0421,0.227031,0.185438,0.290459,0.398709,0.298655,0.689168,0.150263,4.36671,0.297681,0.324722,-0.166453,25.9233,-2.84669,88.5631,0.158268,-0.340087,-3.14223051071167,-0.1164761483669281,0.495167,999,,,,,,,234.9,4.194642857,234.9,4.194642857,,,,,,,,,,,,,,,,,,,"Edmundo Sosa","17022",624641
"Jeremiah Jackson","BAL",48,209,195,48,30,10,1,7,24,24,10,0,47,1,1,1,,4,1,0.244942,0.0491999,0.226354,0.217359,0.28577,0.40387,0.297948,0.689639,0.158928,4.63971,0.289101,-0.0343543,-0.0740206,22.1,-2.55994,91.2331,-0.108375,-0.529271,-2.2648725882172585,-0.08204877376556396,0.495047,999,,,,,,,212.1,4.41875,212.1,4.41875,,,,,,,,,,,,,,,,,,,"Jeremiah Jackson","22239",669236
"Jesse Winker",,47,202,170,41,27,7,1,5,24,22,27,1,45,3,1,0,,3,1,0.243059,0.134,0.221392,0.605261,0.354297,0.395894,0.331785,0.750191,0.152835,4.91405,0.296335,-0.692789,-0.156843,26.9059,3.06794,112.627,-0.849632,-0.222988,2.16124027967453,-4.17345130443573,0.492722,999,,,,,,,225.5,4.79787234,225.5,4.79787234,,,,,,,,,,,,,,,,,,,"Jesse Winker","13590",608385
"Wenceel Pérez","DET",58,249,224,54,34,11,2,6,27,27,20,0,55,2,2,1,,5,2,0.238865,0.0806999,0.22194,0.363611,0.304843,0.391102,0.304001,0.695946,0.152238,5.65115,0.286835,0.373972,-0.00955517,27.5786,-1.82955,93.7081,0.364417,0.013393,-1.4812791347503662,-2.3569774348288774,0.484019,748.5399780273438,,,,,,,248,4.275862068,248,4.275862068,,,,,,,,,,,,,,,,,,,"Wenceel Perez","22857",672761
"Noelvi Marte","CIN",113,487,447,113,74,21,2,16,58,61,30,1,111,5,3,1,,14,5,0.252794,0.0623876,0.227068,0.274753,0.305531,0.413267,0.311304,0.718797,0.160472,5.25838,0.300506,0.129335,0.011279,56.8477,-0.69217,93.9586,0.140614,-2.90683,-3.3462803065776825,-8.124425888061523,0.483549,147.7100067138672,,,,,,,526.1,4.655752212,526.1,4.655752212,,,,,,,,,,,,,,,,,,,"Noelvi Marte","26517",682622
"Brice Matthews","HOU",38,166,146,32,20,6,1,5,20,19,16,0,55,2,1,0,,8,2,0.220565,0.0958464,0.329929,0.290506,0.304888,0.384714,0.30326,0.689602,0.164149,6.78851,0.309161,0.0069916,0.468808,18.2858,-1.31961,94.0233,0.475799,0.40137,-0.6930161416530609,-0.3393707871437073,0.478854,740.969970703125,,,,,,,166.9,4.392105263,166.9,4.392105263,,,,,,,,,,,,,,,,,,,"Brice Matthews","33280",694728
"Reese McGuire","CHW",34,134,123,28,19,5,0,4,12,14,8,0,30,1,1,1,,1,0,0.226911,0.0588088,0.226157,0.260035,0.277545,0.353359,0.276713,0.630904,0.126448,3.02508,0.270645,-0.136205,-0.0785813,11.8412,-3.94122,74.9035,-0.214786,0.595275,-4.165678888559341,3.204071342945099,0.475998,999,,,,,,,114.8,3.376470588,114.8,3.376470588,,,,,,,,,,,,,,,,,,,"Reese McGuire","15674",624512
"Jonny DeLuca","TBR",69,299,271,63,41,11,3,8,32,34,21,1,61,4,2,1,,9,2,0.233779,0.0706341,0.205121,0.344353,0.296847,0.38463,0.297009,0.681478,0.150851,6.16373,0.27219,0.0419942,0.467102,31.4488,-3.89715,88.2601,0.509096,-0.714147,-3.6300896406173706,-2.030968189239502,0.474542,999,,,,,,,292.5,4.239130434,292.5,4.239130434,,,,,,,,,,,,,,,,,,,"Jonny DeLuca","26365",676356
"Cody Freeman","TEX",37,160,148,37,25,8,0,4,18,18,9,0,24,1,1,1,,2,1,0.251519,0.0580999,0.148935,0.390102,0.298605,0.393361,0.300625,0.691966,0.141842,3.74487,0.272323,-0.0307048,-0.0856023,17.2912,-1.61477,93.0387,-0.116307,-0.0951849,-1.4291198328137398,0.4762657433748245,0.466139,999,,,,,,,151,4.081081081,151,4.081081081,,,,,,,,,,,,,,,,,,,"Cody Freeman","25629",683227
"Blake Perkins","MIL",37,160,141,32,22,6,1,3,18,15,17,0,43,1,1,1,,5,2,0.225625,0.104665,0.269296,0.388663,0.310422,0.343444,0.291683,0.653866,0.117819,5.7464,0.301057,0.0476743,0.129574,16.1295,-2.77644,86.152,0.177248,1.10084,-2.44888935983181,1.6722934246063232,0.465035,999,,,,,,,147.4,3.983783783,147.4,3.983783783,,,,,,,,,,,,,,,,,,,"Blake Perkins","19921",663368
"Rafael Marchán","PHI",35,140,124,29,20,6,0,3,15,14,12,0,25,2,1,1,,1,0,0.233179,0.0871001,0.177583,0.490476,0.307735,0.357128,0.294689,0.664863,0.123949,3.75079,0.267176,-0.115896,-0.131927,14.4473,-2.08661,85.8459,-0.247823,0.184858,-2.5952375531196594,2.9178829044103622,0.458611,999,,,,,,,127.9,3.654285714,127.9,3.654285714,,,,,,,,,,,,,,,,,,,"Rafael Marchan","21646",665561
"Miguel Andujar","SDP",82,353,327,88,61,17,1,9,38,42,21,1,53,2,2,1,,2,1,0.268499,0.0585549,0.15105,0.387654,0.31393,0.407354,0.312722,0.721284,0.138855,3.42629,0.295213,-0.176121,-0.40811,41.566,-0.0954965,103.548,-0.584231,-0.960757,0.8984963893890381,-8.294090270996094,0.443188,722.9099731445312,,,,,,,375.4,4.57804878,375.4,4.57804878,,,,,,,,,,,,,,,,,,,"Miguel Andujar","15878",609280
"Ezequiel Duran","TEX",55,237,219,54,36,13,1,5,26,25,12,0,56,3,2,1,,7,2,0.247846,0.0523156,0.237871,0.219932,0.293712,0.385095,0.295581,0.678807,0.137249,4.95732,0.307279,-0.133432,0.186012,24.5922,-3.35576,89.5638,0.0525797,-2.0502,-2.8568135872483253,-0.9569922685623169,0.442989,999,,,,,,,226.5,4.118181818,226.5,4.118181818,,,,,,,,,,,,,,,,,,,"Ezequiel Duran","23733",677649
"James McCann","ARI",53,210,194,47,31,9,0,6,22,23,12,0,53,3,2,1,,1,0,0.240498,0.0548002,0.253885,0.215846,0.289642,0.384177,0.293514,0.673819,0.143679,3.44055,0.299362,-0.433785,-0.185137,21.5193,-3.33758,85.6677,-0.618922,-0.0237288,-4.1924391984939575,3.1614563800394535,0.439481,999,,,,,,,198.6,3.747169811,198.6,3.747169811,,,,,,,,,,,,,,,,,,,"James McCann","12859",543510
"Starling Marte","KCR",63,271,246,66,47,12,1,6,31,28,17,0,57,5,2,1,,7,2,0.267486,0.0634953,0.209688,0.302808,0.326174,0.395641,0.316398,0.721816,0.128156,5.35098,0.324416,-0.125172,0.37043,32.7943,0.736329,99.4817,0.245258,-0.0985828,0.07950735092163086,-5.291329935193062,0.422482,999,,,,,,,294.2,4.669841269,294.2,4.669841269,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Dane Myers","CIN",56,243,221,55,39,9,1,7,27,28,18,0,61,3,2,0,,9,3,0.247837,0.0736065,0.250477,0.293865,0.311072,0.381878,0.304516,0.692949,0.134041,4.97815,0.310977,-0.0593946,0.320924,27.0819,-1.68802,89.3085,0.261529,-1.02838,-2.8238574266433716,-1.1526104807853699,0.421731,999,,,,,,,256.3,4.576785714,256.3,4.576785714,,,,,,,,,,,,,,,,,,,"Dane Myers","22054",667472
"Jordan Walker","STL",126,543,492,117,76,24,2,15,55,59,40,1,143,5,3,1,,9,4,0.238177,0.074627,0.26392,0.282763,0.301296,0.385829,0.300141,0.687125,0.147652,4.16051,0.303032,0.110743,-0.487224,58.4265,-5.68941,93.3395,-0.376481,-3.25347,-4.66005003452301,-9.266124963760376,0.421712,511.7200012207031,,,,,,,526.1,4.175396825,526.1,4.175396825,,,,,,,,,,,,,,,,,,,"Jordan Walker","27475",691023
"Javier Báez","DET",96,415,390,91,63,17,2,10,43,48,16,0,98,5,3,1,,7,1,0.234552,0.0386764,0.236775,0.163347,0.271731,0.366932,0.277355,0.638663,0.13238,5.04647,0.285283,0.23393,0.271503,36.9901,-12.0235,75.3524,0.505433,-2.06791,-11.544988691806793,1.2407312393188477,0.406946,740.6500244140625,,,,,,,347.8,3.622916666,347.8,3.622916666,,,,,,,,,,,,,,,,,,,"Javier Baez","12979",595879
"Alex Call","LAD",35,152,131,31,21,6,0,4,18,16,18,0,30,2,1,1,,2,1,0.236033,0.118,0.19672,0.599836,0.334782,0.374896,0.315962,0.709678,0.138863,4.16128,0.276367,-0.074523,-0.147671,18.3306,0.358955,102.538,-0.222194,-0.786846,0.2353883981704712,-1.3300562500953674,0.405584,999,,,,,,,158.6,4.531428571,158.6,4.531428571,,,,,,,,,,,,,,,,,,,"Alex Call","19296",669743
"José Tena","WSN",52,223,203,50,34,11,1,4,22,22,16,0,55,2,2,1,,6,2,0.24598,0.0709,0.248411,0.285414,0.30309,0.367402,0.294478,0.670492,0.121423,5.05439,0.315595,-0.037836,0.0420098,22.9463,-3.35769,87.3322,0.00417381,-0.512428,-3.338200275786221,-0.21427983045578003,0.394089,999,,,,,,,212,4.076923076,212,4.076923076,,,,,,,,,,,,,,,,,,,"Jose Tena","23691",677588
"Jahmai Jones","DET",32,138,119,29,17,7,1,4,18,16,15,0,34,3,1,1,,3,1,0.243976,0.107237,0.242645,0.441948,0.34014,0.419903,0.332514,0.760043,0.175926,5.72884,0.304117,-0.00192069,-0.0960391,18.5224,2.18456,113.35,-0.0979598,0.116144,2.077632173895836,-3.0443501099944115,0.388159,999,,,,,,,163.9,5.121875,163.9,5.121875,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Brandon Lockridge","MIL",39,167,149,36,26,7,1,2,19,16,14,0,44,2,1,1,,9,2,0.24098,0.0820435,0.262847,0.312134,0.309795,0.341078,0.289365,0.650873,0.100097,6.84355,0.325454,-0.0145522,0.804001,16.5166,-3.21141,84.564,0.789449,0.766655,-2.2651196718215942,0.46850717067718506,0.384348,999,,,,,,,156.9,4.023076923,156.9,4.023076923,,,,,,,,,,,,,,,,,,,"Brandon Lockridge","21496",663604
"Angel Martínez","CLE",61,263,240,57,37,13,1,6,29,27,16,0,56,3,2,2,,4,2,0.236113,0.062189,0.213167,0.291739,0.290604,0.373401,0.290299,0.664004,0.137287,4.76108,0.282488,0.189292,-0.229487,26.1879,-4.85399,85.7041,-0.0401954,0.682468,-4.466786798089743,-0.8977788686752319,0.376565,748.5800170898438,,,,,,,238,3.901639344,238,3.901639344,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
"Travis d'Arnaud","LAA",58,228,209,45,28,10,0,7,22,24,14,0,65,3,2,1,,1,0,0.215222,0.0626997,0.285106,0.219917,0.27323,0.36973,0.280787,0.64296,0.154508,2.92302,0.272551,-0.438407,-0.233686,20.9803,-5.9772,76.7892,-0.672093,-0.877377,-6.9134621024131775,3.2707709670066833,0.372022,999,,,,,,,190.7,3.287931034,190.7,3.287931034,,,,,,,,,,,,,,,,,,,"Travis d'Arnaud","7739",518595
"Gary Sánchez","MIL",37,149,132,29,17,5,0,7,17,19,12,0,41,3,1,0,,0,0,0.217515,0.0814003,0.274904,0.296104,0.29393,0.407292,0.305475,0.701223,0.189777,3.07871,0.258786,-0.210772,-0.17613,16.6523,-0.915014,95.5999,-0.386902,-0.794663,-1.1622564792633057,0.8699970841407776,0.369867,999,,,,,,,155.7,4.208108108,155.7,4.208108108,,,,,,,,,,,,,,,,,,,"Gary Sanchez","11442",596142
"Carlos Santana","ARI",82,353,310,71,48,14,0,9,37,39,38,1,66,2,2,0,,3,0,0.229616,0.107627,0.188569,0.570758,0.316416,0.365587,0.302072,0.682003,0.135971,3.25566,0.261811,-0.58868,-0.132173,38.5174,-3.14409,91.5301,-0.720853,2.37391,-4.260388076305389,-4.021148443222046,0.352545,999,,,,,,,338.5,4.12804878,338.5,4.12804878,,,,,,,,,,,,,,,,,,,"Carlos Santana","2396",467793
"Masataka Yoshida","BOS",40,174,158,44,30,9,0,5,20,21,12,0,24,3,1,0,,1,0,0.27829,0.0668997,0.138638,0.482549,0.336261,0.427581,0.332711,0.763842,0.149291,3.49314,0.301209,-0.215839,-0.172826,23.3256,2.7756,109.54,-0.388665,-0.00719464,1.5669265985488892,-4.156423211097717,0.347701,748.3300170898438,,,,,,,208.4,5.21,208.4,5.21,,,,,,,,,,,,,,,,,,,"Masataka Yoshida","31837",807799
"Triston Casas","BOS",31,132,114,27,16,5,0,5,16,17,16,1,34,1,1,0,,1,0,0.24014,0.1239,0.254936,0.486004,0.338884,0.439529,0.335751,0.778413,0.199389,3.08179,0.289227,-0.175487,-0.177561,18.0536,2.43567,111.634,-0.353049,-0.0371791,1.4594184756278992,-2.6956668868660927,0.339122,746.0599975585938,,,,,,,151.6,4.89032258,151.6,4.89032258,,,,,,,,,,,,,,,,,,,"Triston Casas","22514",671213
"Vaughn Grissom","LAA",26,111,99,25,17,5,0,2,11,11,9,0,22,1,1,0,,2,0,0.248259,0.0787001,0.201485,0.3906,0.314853,0.368448,0.301728,0.683301,0.120189,3.89872,0.296774,0.0612876,-0.0525252,12.053,-1.01728,91.2149,0.00876236,0.183863,-1.1366031160578132,0.6283072829246521,0.337648,999,,,,,,,108.1,4.157692307,108.1,4.157692307,,,,,,,,,,,,,,,,,,,"Vaughn Grissom","26031",687093
"Everson Pereira","CHW",66,285,256,57,36,10,1,11,35,33,23,0,93,4,2,0,,5,2,0.224493,0.0809638,0.327107,0.247515,0.296018,0.393248,0.301308,0.689266,0.168756,5.01817,0.30464,-0.0840479,-0.0549644,30.9815,-2.72048,91.8461,-0.139012,-1.11207,-2.8801479190587997,-3.6711775064468384,0.334445,999,,,,,,,286.2,4.336363636,286.2,4.336363636,,,,,,,,,,,,,,,,,,,"Everson Pereira","23695",677592
"Mitch Garver","SEA",29,114,99,20,13,3,0,4,12,13,12,0,32,1,1,0,,1,0,0.206486,0.1084,0.285468,0.379726,0.299987,0.373162,0.296676,0.67315,0.166677,3.57483,0.258909,-0.301581,-0.132028,11.9306,-1.51309,95.4439,-0.433609,-0.702025,-1.0445793867111206,1.520197331905365,0.332391,999,,,,,,,100.2,3.455172413,100.2,3.455172413,,,,,,,,,,,,,,,,,,,"Mitch Garver","15161",641598
"Griffin Conine","MIA",92,397,352,79,50,15,2,13,42,46,38,0,131,4,2,0,,1,1,0.224047,0.0953034,0.331047,0.287885,0.303976,0.384351,0.302532,0.688327,0.160304,3.23372,0.313648,-0.190637,-0.638267,43.4661,-3.38781,91.4885,-0.828904,1.1164,-4.829129338264465,-5.119869828224182,0.331483,999,,,,,,,392.6,4.267391304,392.6,4.267391304,,,,,,,,,,,,,,,,,,,"Griffin Conine","21626",665052
"Richie Palacios","TBR",52,223,194,44,31,9,1,3,24,20,24,1,45,2,1,1,,7,2,0.228821,0.107909,0.201105,0.536583,0.319245,0.337071,0.293896,0.656316,0.10825,5.36003,0.278506,-0.0172082,0.279621,22.841,-3.46298,86.1152,0.262412,0.317756,-3.3806861340999603,-1.0736015737056732,0.328448,999,,,,,,,198.1,3.809615384,198.1,3.809615384,,,,,,,,,,,,,,,,,,,"Richie Palacios","24589",680700
"Tyrone Taylor","NYM",60,257,236,55,35,12,1,6,27,27,14,1,58,4,2,1,,7,2,0.232066,0.054,0.226172,0.238756,0.285074,0.373819,0.286814,0.658893,0.141753,5.69878,0.280395,0.378133,0.267835,24.93,-5.48395,85.3632,0.645969,0.142501,-3.819341480731964,-1.621541976928711,0.31925,999,,,,,,,230.6,3.843333333,230.6,3.843333333,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"Robert Hassell III","WSN",55,237,215,52,37,10,0,5,23,22,17,0,55,2,2,1,,5,1,0.241946,0.0728999,0.23435,0.311073,0.300966,0.354794,0.288574,0.65576,0.112848,4.35111,0.302368,0.0238935,0.103398,23.2466,-4.70139,83.2876,0.127291,0.747866,-4.557829767465591,-0.19626939296722412,0.318496,999,,,,,,,215.9,3.925454545,215.9,3.925454545,,,,,,,,,,,,,,,,,,,"Robert Hassell III","27482",690987
"Andy Ibáñez","ATH",61,264,240,59,40,13,1,6,29,26,18,0,53,3,2,1,,4,1,0.24572,0.0692999,0.200689,0.34531,0.304773,0.373623,0.297897,0.678396,0.127903,4.35414,0.291543,-0.459927,-0.14682,27.9824,-3.25352,86.9342,-0.606747,-0.60279,-4.677743852138519,-1.3481605052947998,0.314685,999,,,,,,,258,4.229508196,258,4.229508196,,,,,,,,,,,,,,,,,,,"Andy Ibanez","18819",628451
"Endy Rodríguez","PIT",23,91,82,20,13,5,0,2,10,10,8,0,19,1,1,0,,1,0,0.24381,0.0854001,0.208677,0.409246,0.312916,0.387122,0.307046,0.700038,0.143312,4.10954,0.290388,-0.022438,-0.0781035,10.3574,-0.446045,94.0383,-0.100542,-0.0384652,-0.7465822547674179,0.6075224727392197,0.312794,999,,,,,,,92.2,4.008695652,92.2,4.008695652,,,,,,,,,,,,,,,,,,,"Endy Rodriguez","25332",682848
"Ryan Waldschmidt","ARI",26,111,95,24,16,5,1,2,13,11,12,0,25,2,1,0,,3,1,0.246597,0.1127,0.222791,0.505856,0.341352,0.376815,0.319187,0.718166,0.130218,4.92296,0.307456,0,-0.00791122,13.621,0.550705,103.254,-0.00791122,0,0.41873238887637854,-1.0864198207855225,0.308111,999,,,,,,,123.3,4.742307692,123.3,4.742307692,,,,,,,,,,,,,,,,,,,"Ryan Waldschmidt","sa3025261",814439
"Jasson Domínguez","NYY",22,97,86,21,14,4,0,3,12,11,9,0,24,1,1,0,,4,1,0.249464,0.0968999,0.249875,0.387793,0.325874,0.406049,0.319891,0.731923,0.156585,5.35831,0.310421,0.00442338,0.214976,11.9737,0.537199,106.033,0.219399,-0.291058,0.9076353311538696,-1.2293300926685333,0.308033,421.5400085449219,,,,,,,106.2,4.827272727,106.2,4.827272727,,,,,,,,,,,,,,,,,,,"Jasson Dominguez","28080",691176
"Juan Brito","CLE",22,97,85,19,13,5,0,2,10,10,10,0,19,1,1,0,,2,1,0.230339,0.1058,0.20019,0.5285,0.318105,0.366446,0.302699,0.684551,0.136107,4.04647,0.271531,-0.00753747,-0.0555765,10.6227,-0.813816,94.2465,-0.063114,0,-0.7194675132632256,0.34567901492118835,0.302704,999,,,,,,,88.7,4.031818181,88.7,4.031818181,,,,,,,,,,,,,,,,,,,"Juan Brito","sa3009808",682877
"Ryan Vilade","TBR",47,202,180,43,29,8,1,4,22,21,17,0,49,2,1,1,,3,1,0.236091,0.0851164,0.24459,0.347996,0.308735,0.366533,0.297997,0.675268,0.130442,4.84919,0.299483,-0.00954489,-0.222239,21.3714,-2.46654,88.9404,-0.231784,0.850901,-2.8615588545799255,-1.1615992784500122,0.299042,999,,,,,,,187.2,3.982978723,187.2,3.982978723,,,,,,,,,,,,,,,,,,,"Ryan Vilade","22165",668723
"Mickey Moniak","COL",92,397,370,95,57,17,4,16,48,52,19,0,98,4,3,1,,8,3,0.256891,0.0486,0.247645,0.196248,0.298023,0.459614,0.323432,0.757637,0.202723,5.9745,0.304794,-0.176892,-0.0592671,50.1946,3.3407,93.4932,-0.23616,0.105357,-3.294194743037224,-7.0253534615039825,0.293571,245.8300018310547,,,,,,,460.3,5.003260869,460.3,5.003260869,,,,,,,,,,,,,,,,,,,"Mickey Moniak","19956",666160
