Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Eduarniel Núñez","ATH",2,2,0,4.432,50,0,0,4,,50,220,46,26,24,6,28,,3,47,8.57993,5.05877,1.69605,1.094,0.215261,0.126919,0.08834224939346313,0.244279,1.49408,0.295737,0.727212,,,4.64898,-0.00596016,0.00579448,999,,,,,,,193.6,3.872,189,3.78,,,,,,,,,,,,,,,,,,,"Eduarniel Nunez","23162",674384
"Chayce McDermott","BAL",1,1,0,4.28044,21,0,0,1,,21,91,19,11,10,3,10,,1,22,9.32942,4.39211,2.12413,1.228,0.238109,0.112097,0.12601172924041748,0.237817,1.39673,0.29164,0.735138,,,4.43292,-0.00642348,-0.0288003,999,,,,,,,84.1,4.004761904761905,81,3.857142857142857,,,,,,,,,,,,,,,,,,,"Chayce McDermott","29866",694646
"Kolby Allard","CLE",1,1,0,4.36012,16,0,0,1,,16,68,16,8,8,2,5,,0,12,7.03313,2.66967,2.63445,1.351,0.182157,0.0691443,0.1130131334066391,0.262369,1.33624,0.293484,0.724703,,,4.50648,-0.00655366,-0.0105618,999,,,,,,,65.20000000000002,4.075000000000001,67,4.1875,,,,,,,,,,,,,,,,,,,"Kolby Allard","18694",663465
"Victor Mederos","LAA",1,1,0,4.54755,18,0,0,1,,18,78,18,10,9,2,7,,1,14,7.18424,3.42392,2.09825,1.254,0.18256,0.0870057,0.09555408358573914,0.26102,1.4043,0.296329,0.711554,,,4.69995,-0.00666184,-0.031642,999,,,,,,,69.80000000000003,3.877777777777779,72,4,,,,,,,,,,,,,,,,,,,"Victor Mederos","31533",682989
"Daniel Espino","CLE",1,2,0,4.29851,23,0,0,0,,23,100,21,12,11,3,12,,0,25,10.0746,4.70149,2.14286,1.34328,0.253378,0.118243,0.13513512164354324,0.234615,1.43284,0.291429,0.743902,,,4.44857,-0.00670149,-0.0285132,999,,,,,,,92.70000000000002,4.030434782608697,90,3.9130434782608696,,,,,,,,,,,,,,,,,,,"Daniel Espino","sa3011495",682982
"Vince Velasquez","CHC",0,0,0,4.29918,8,0,0,1,,8,34,7,4,4,1,3,,0,8,8.57573,3.78311,2.26685,1.303,0.220682,0.0973521,0.12333013117313385,0.243417,1.35926,0.287774,0.733269,,,4.49327,-0.0067437,-0.00162323,999,,,,,,,39.7,4.9625,38,4.75,,,,,,,,,,,,,,,,,,,"Vince Velasquez","11189",592826
"Tejay Antone","CIN",1,1,0,4.51075,22,0,0,1,,22,96,22,12,11,3,10,,1,19,7.88221,3.92009,2.01072,1.243,0.199857,0.0993957,0.10046134144067764,0.256652,1.43577,0.299004,0.720897,,,4.63405,-0.00691225,-0.0134961,999,,,,,,,77.7,3.5318181818181817,80,3.6363636363636362,,,,,,,,,,,,,,,,,,,"Tejay Antone","16233",622088
"Kade Strowd","ARI",1,1,0,4.12795,30,0,0,1,,30,129,29,15,14,3,14,,1,27,8.17567,4.10178,1.9932,0.898,0.208933,0.104823,0.10411015897989273,0.253208,1.43074,0.307917,0.72197,,,4.10739,-0.00695991,0.00412809,999,,,,,,,122.69999999999999,4.09,124,4.133333333333334,,,,,,,,,,,,,,,,,,,"Kade Strowd","26191",669704
"Ronan Kopp","LAD",1,1,0,4.21441,16,0,0,1,,16,70,14,8,7,2,10,,1,17,9.78333,5.68545,1.72077,1.137,0.245237,0.142516,0.10272108018398285,0.229934,1.49612,0.289895,0.750865,,,4.62304,-0.00709397,0.00123362,999,,,,,,,62.40000000000001,3.900000000000001,59,3.6875,,,,,,,,,,,,,,,,,,,"Ronan Kopp","sa3017751",691947
"Easton McGee","MIL",1,2,0,4.18064,30,0,0,1,,30,128,30,15,14,4,10,,1,24,7.32191,2.98957,2.44916,1.154,0.189474,0.077363,0.11211097240447998,0.257824,1.34321,0.29628,0.721974,,,4.29183,-0.00720854,-0.00262271,999,,,,,,,113.80000000000001,3.793333333333334,117,3.9,,,,,,,,,,,,,,,,,,,"Easton McGee","22176",668834
"Michael Darrell-Hicks","PIT",0,0,0,4.48742,8,0,0,1,,8,35,8,4,4,1,3,,0,6,7.03611,3.19697,2.20087,1.137,0.178874,0.0812743,0.09759993106126785,0.264946,1.40246,0.302479,0.706143,,,4.46776,-0.00743909,0.00255208,999,,,,,,,33.10000000000001,4.137500000000001,34,4.25,,,,,,,,,,,,,,,,,,,"Michael Darrell-Hicks","31501",690382
"Rafael Montero","NYY",1,1,0,4.21408,24,0,0,1,,24,104,22,12,11,3,11,,1,23,8.84983,4.34283,2.0378,1.158,0.224688,0.11026,0.11442797631025314,0.23908,1.40429,0.289085,0.734236,,,4.40404,-0.00744364,-0.0196343,999,,,,,,,97.50000000000001,4.062500000000001,95,3.9583333333333335,,,,,,,,,,,,,,,,,,,"Rafael Montero","12760",606160
"Angel Chivilli","NYY",1,1,0,4.17976,26,0,0,1,,26,111,25,13,12,4,10,,1,23,8.04213,3.427,2.3467,1.228,0.206504,0.0879976,0.11850622296333313,0.248026,1.34703,0.289561,0.730927,,,4.41592,-0.00744437,-0.020077,999,,,,,,,95.19999999999999,3.661538461538461,95,3.6538461538461537,,,,,,,,,,,,,,,,,,,"Angel Chivilli","26790",683409
"Francis Peña","SDP",0,0,0,4.21856,10,0,0,1,,10,43,10,5,5,1,4,,0,8,7.15034,4.04305,1.76855,1.029,0.181775,0.102782,0.07899322360754013,0.25651,1.44422,0.296504,0.727113,,,4.5077,-0.00763143,-0.00523138,999,,,,,,,43.7,4.37,45,4.5,,,,,,,,,,,,,,,,,,,"Francis Pena","sa3019374",800212
"Eric Cerantola","KCR",1,1,0,4.45914,12,0,0,1,,12,53,11,6,6,2,6,,1,11,8.47611,4.54811,1.86366,1.132,0.213693,0.114663,0.09902967512607574,0.2469,1.45554,0.296454,0.721247,,,4.56284,-0.00848395,0.00231741,999,,,,,,,40.600000000000016,3.3833333333333346,39,3.25,,,,,,,,,,,,,,,,,,,"Eric Cerantola","sa3017914",672021
"Jackson Kowar","BAL",1,1,0,4.673,11,0,0,1,,11,48,11,6,6,2,5,,1,10,8.27937,4.20674,1.96812,1.273,0.208271,0.105822,0.10244859009981155,0.255525,1.46423,0.301221,0.716767,,,4.68185,-0.00860723,-0.0225196,999,,,,,,,34.2,3.1090909090909093,35,3.1818181818181817,,,,,,,,,,,,,,,,,,,"Jackson Kowar","21549",663804
"Zach Penrod","WSN",0,1,0,4.30054,10,0,0,1,,10,44,9,5,5,1,5,,0,9,8.21848,4.8026,1.71126,1.096,0.206741,0.120812,0.08592844009399414,0.245219,1.474,0.292366,0.735052,,,4.63816,-0.00919503,0.0014933,999,,,,,,,45.300000000000004,4.53,44,4.4,,,,,,,,,,,,,,,,,,,"Zach Penrod","25368",683068
"Reiver Sanmartin","SFG",1,1,0,3.95178,15,0,0,1,,15,64,16,7,7,1,5,,1,11,6.63128,3.16293,2.09656,0.867,0.169982,0.0810765,0.08890558034181595,0.266319,1.40132,0.3067,0.725533,,,4.09114,-0.0092626,0.00384944,999,,,,,,,65.1,4.34,70,4.666666666666667,,,,,,,,,,,,,,,,,,,"Reiver Sanmartin","19754",665665
